LoanID,MemberID,LoanAmount,FundedAmount,Term,IntRate,Installment,Grade,SubGrade,IssueDate,LoanStatus,Purpose,ApplicationType,DTI,TotalPayment,LastPaymentDate
LN-00001,MB-0069,2109000.0,1926200.0,24,22.26,98123.84,E,E3,2024-07-13,Charged Off,Education,Individual,12.35,769211.87,2025-04-05
LN-00002,MB-0106,86000.0,81600.0,12,7.68,7322.24,A,A3,2022-02-08,Fully Paid,Education,Joint,14.08,91585.12,2023-02-19
LN-00003,MB-0037,2977000.0,2902700.0,12,9.74,265451.91,A,A4,29/02/2024,Fully Paid,Agriculture,Individual,16.26,3484086.19,2025-02-23
LN-00004,MB-0330,2809000.0,2711400.0,36,9.46,82441.62,A,A5,2021-02-26,Fully Paid,Vehicle Purchase,Individual,5.36,3365566.41,2024-02-24
LN-00005,MB-0087,2240000.0,2089200.0,24,9.44,95267.52,A,A3,2022-04-17,Fully Paid,Medical Emergency,Individual,17.32,2158720.38,2024-03-23
LN-00006,MB-0207,1508000.0,1432500.0,24,19.49,71320.59,D,D2,2024-07-07,Fully Paid,Agriculture,Joint,27.91,1490691.11,2026-06-09
LN-00007,MB-0112,144000.0,138400.0,60,14.78,2647.59,C,C1,2024-09-17,Fully Paid,Business Expansion,Joint,14.18,141448.06,2029-08-13
LN-00008,MB-0152,2042000.0,1953700.0,48,7.76,43860.56,A,A5,2023-08-02,Fully Paid,Education,Joint,15.92,2424967.85,2027-07-31
LN-00009,MB-0347,1717000.0,1617600.0,36,11.94,50298.37,B,B3,2022-09-05,Charged Off,Wedding,Individual,29.84,710679.36,2024-01-06
LN-00010,MB-0297,2832000.0,2650800.0,24,12.19,123913.85,B,B5,2021-08-22,Fully Paid,Business Expansion,Individual,19.04,3229469.47,2023-08-08
LN-00011,MB-0344,720000.0,681000.0,60,9.22,12396.47,A,A4,2023-11-18,Late,Business Expansion,Joint,6.86,200213.64,2026-10-13
